,description,director,id,locations,people,producer,release_date,rt_score,species,title,url,vehicles
0,"The orphan Sheeta inherited a mysterious crystal that links her to the mythical sky-kingdom of Laputa. With the help of resourceful Pazu and a rollicking band of sky pirates, she makes her way to the ruins of the once-great civilization. Sheeta and Pazu must outwit the evil Muska, who plans to use Laputa's science to make himself ruler of the world.",Hayao Miyazaki,2baf70d1-42bb-4437-b551-e5fed5a87abe,['https://ghibliapi.herokuapp.com/locations/'],['https://ghibliapi.herokuapp.com/people/'],Isao Takahata,1986,95,['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2'],Castle in the Sky,https://ghibliapi.herokuapp.com/films/2baf70d1-42bb-4437-b551-e5fed5a87abe,['https://ghibliapi.herokuapp.com/vehicles/']
1,"In the latter part of World War II, a boy and his sister, orphaned when their mother is killed in the firebombing of Tokyo, are left to survive on their own in what remains of civilian life in Japan. The plot follows this boy and his sister as they do their best to survive in the Japanese countryside, battling hunger, prejudice, and pride in their own quiet, personal battle.",Isao Takahata,12cfb892-aac0-4c5b-94af-521852e46d6a,['https://ghibliapi.herokuapp.com/locations/'],['https://ghibliapi.herokuapp.com/people/'],Toru Hara,1988,97,['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2'],Grave of the Fireflies,https://ghibliapi.herokuapp.com/films/12cfb892-aac0-4c5b-94af-521852e46d6a,['https://ghibliapi.herokuapp.com/vehicles/']
2,"Two sisters move to the country with their father in order to be closer to their hospitalized mother, and discover the surrounding trees are inhabited by Totoros, magical spirits of the forest. When the youngest runs away from home, the older sister seeks help from the spirits to find her.",Hayao Miyazaki,58611129-2dbc-4a81-a72f-77ddfc1b1b49,['https://ghibliapi.herokuapp.com/locations/'],"['https://ghibliapi.herokuapp.com/people/986faac6-67e3-4fb8-a9ee-bad077c2e7fe', 'https://ghibliapi.herokuapp.com/people/d5df3c04-f355-4038-833c-83bd3502b6b9', 'https://ghibliapi.herokuapp.com/people/3031caa8-eb1a-41c6-ab93-dd091b541e11', 'https://ghibliapi.herokuapp.com/people/87b68b97-3774-495b-bf80-495a5f3e672d', 'https://ghibliapi.herokuapp.com/people/d39deecb-2bd0-4770-8b45-485f26e1381f', 'https://ghibliapi.herokuapp.com/people/591524bc-04fe-4e60-8d61-2425e42ffb2a', 'https://ghibliapi.herokuapp.com/people/c491755a-407d-4d6e-b58a-240ec78b5061', 'https://ghibliapi.herokuapp.com/people/f467e18e-3694-409f-bdb3-be891ade1106', 'https://ghibliapi.herokuapp.com/people/08ffbce4-7f94-476a-95bc-76d3c3969c19', 'https://ghibliapi.herokuapp.com/people/0f8ef701-b4c7-4f15-bd15-368c7fe38d0a']",Hayao Miyazaki,1988,93,"['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2', 'https://ghibliapi.herokuapp.com/species/603428ba-8a86-4b0b-a9f1-65df6abef3d3', 'https://ghibliapi.herokuapp.com/species/74b7f547-1577-4430-806c-c358c8b6bcf5']",My Neighbor Totoro,https://ghibliapi.herokuapp.com/films/58611129-2dbc-4a81-a72f-77ddfc1b1b49,['https://ghibliapi.herokuapp.com/vehicles/']
3,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",Hayao Miyazaki,ea660b10-85c4-4ae3-8a5f-41cea3648e3e,['https://ghibliapi.herokuapp.com/locations/'],['https://ghibliapi.herokuapp.com/people/'],Hayao Miyazaki,1989,96,['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2'],Kiki's Delivery Service,https://ghibliapi.herokuapp.com/films/ea660b10-85c4-4ae3-8a5f-41cea3648e3e,['https://ghibliapi.herokuapp.com/vehicles/']
4,"It’s 1982, and Taeko is 27 years old, unmarried, and has lived her whole life in Tokyo. She decides to visit her family in the countryside, and as the train travels through the night, memories flood back of her younger years: the first immature stirrings of romance, the onset of puberty, and the frustrations of math and boys. At the station she is met by young farmer Toshio, and the encounters with him begin to reconnect her to forgotten longings. In lyrical switches between the present and the past, Taeko contemplates the arc of her life, and wonders if she has been true to the dreams of her childhood self.",Isao Takahata,4e236f34-b981-41c3-8c65-f8c9000b94e7,['https://ghibliapi.herokuapp.com/locations/'],['https://ghibliapi.herokuapp.com/people/'],Toshio Suzuki,1991,100,['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2'],Only Yesterday,https://ghibliapi.herokuapp.com/films/4e236f34-b981-41c3-8c65-f8c9000b94e7,['https://ghibliapi.herokuapp.com/vehicles/']
5,"Porco Rosso, known in Japan as Crimson Pig (Kurenai no Buta) is the sixth animated film by Hayao Miyazaki and released in 1992. You're introduced to an Italian World War I fighter ace, now living as a freelance bounty hunter chasing 'air pirates' in the Adriatic Sea. He has been given a curse that changed his head to that of a pig. Once called Marco Pagot, he is now known to the world as 'Porco Rosso', Italian for 'Red Pig.'",Hayao Miyazaki,ebbb6b7c-945c-41ee-a792-de0e43191bd8,['https://ghibliapi.herokuapp.com/locations/'],['https://ghibliapi.herokuapp.com/people/'],Toshio Suzuki,1992,94,['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2'],Porco Rosso,https://ghibliapi.herokuapp.com/films/ebbb6b7c-945c-41ee-a792-de0e43191bd8,['https://ghibliapi.herokuapp.com/vehicles/']
6,"As the human city development encroaches on the raccoon population's forest and meadow habitat, the raccoons find themselves faced with the very real possibility of extinction. In response, the raccoons engage in a desperate struggle to stop the construction and preserve their home.",Isao Takahata,1b67aa9a-2e4a-45af-ac98-64d6ad15b16c,['https://ghibliapi.herokuapp.com/locations/'],['https://ghibliapi.herokuapp.com/people/'],Toshio Suzuki,1994,78,['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2'],Pom Poko,https://ghibliapi.herokuapp.com/films/1b67aa9a-2e4a-45af-ac98-64d6ad15b16c,['https://ghibliapi.herokuapp.com/vehicles/']
7,"Shizuku lives a simple life, dominated by her love for stories and writing. One day she notices that all the library books she has have been previously checked out by the same person: 'Seiji Amasawa'. Curious as to who he is, Shizuku meets a boy her age whom she finds infuriating, but discovers to her shock that he is her 'Prince of Books'. As she grows closer to him, she realises that he merely read all those books to bring himself closer to her. The boy Seiji aspires to be a violin maker in Italy, and it is his dreams that make Shizuku realise that she has no clear path for her life. Knowing that her strength lies in writing, she tests her talents by writing a story about Baron, a cat statuette belonging to Seiji's grandfather.",Yoshifumi Kondō,ff24da26-a969-4f0e-ba1e-a122ead6c6e3,['https://ghibliapi.herokuapp.com/locations/'],['https://ghibliapi.herokuapp.com/people/'],Toshio Suzuki,1995,91,['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2'],Whisper of the Heart,https://ghibliapi.herokuapp.com/films/ff24da26-a969-4f0e-ba1e-a122ead6c6e3,['https://ghibliapi.herokuapp.com/vehicles/']
8,"Ashitaka, a prince of the disappearing Ainu tribe, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",Hayao Miyazaki,0440483e-ca0e-4120-8c50-4c8cd9b965d6,['https://ghibliapi.herokuapp.com/locations/'],"['https://ghibliapi.herokuapp.com/people/ba924631-068e-4436-b6de-f3283fa848f0', 'https://ghibliapi.herokuapp.com/people/ebe40383-aad2-4208-90ab-698f00c581ab', 'https://ghibliapi.herokuapp.com/people/030555b3-4c92-4fce-93fb-e70c3ae3df8b', 'https://ghibliapi.herokuapp.com/people/ca568e87-4ce2-4afa-a6c5-51f4ae80a60b', 'https://ghibliapi.herokuapp.com/people/e9356bb5-4d4a-4c93-aadc-c83e514bffe3', 'https://ghibliapi.herokuapp.com/people/34277bec-7401-43fa-a00a-5aee64b45b08', 'https://ghibliapi.herokuapp.com/people/91939012-90b9-46e5-a649-96b898073c82', 'https://ghibliapi.herokuapp.com/people/20e3bd33-b35d-41e6-83a4-57ca7f028d38', 'https://ghibliapi.herokuapp.com/people/8bccdc78-545b-49f4-a4c8-756163a38c91', 'https://ghibliapi.herokuapp.com/people/116bfe1b-3ba8-4fa0-8f72-88537a493cb9']",Toshio Suzuki,1997,92,"['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2', 'https://ghibliapi.herokuapp.com/species/6bc92fdd-b0f4-4286-ad71-1f99fb4a0d1e', 'https://ghibliapi.herokuapp.com/species/f25fa661-3073-414d-968a-ab062e3065f7']",Princess Mononoke,https://ghibliapi.herokuapp.com/films/0440483e-ca0e-4120-8c50-4c8cd9b965d6,['https://ghibliapi.herokuapp.com/vehicles/']
9,"The Yamadas are a typical middle class Japanese family in urban Tokyo and this film shows us a variety of episodes of their lives. With tales that range from the humourous to the heartbreaking, we see this family cope with life's little conflicts, problems and joys in their own way.",Isao Takahata,45204234-adfd-45cb-a505-a8e7a676b114,['https://ghibliapi.herokuapp.com/locations/'],['https://ghibliapi.herokuapp.com/people/'],Toshio Suzuki,1999,75,['https://ghibliapi.herokuapp.com/species/af3910a6-429f-4c74-9ad5-dfe1c4aa04f2'],My Neighbors the Yamadas,https://ghibliapi.herokuapp.com/films/45204234-adfd-45cb-a505-a8e7a676b114,['https://ghibliapi.herokuapp.com/vehicles/']
